Conceito/Técnica,Categoria,Descrição,Objetivo Principal,Nível de Autonomia (Inferido),Fonte
Deep Learning (Aprendizado Profundo),Aprendizado de Máquina,Subconjunto do aprendizado de máquina que utiliza múltiplas camadas de redes neurais para extrair características de alto nível.,"Visão computacional, processamento de linguagem natural e classificação de imagens.",Muito Alto,[1]
Aprendizado por Reforço,Aprendizado de Máquina,Técnica onde um agente aprende a escolher respostas através de recompensas por ações positivas e punições por ações negativas.,Otimização de comportamento em jogos e sistemas de controle autônomos.,Muito Alto,[1]
GPT (Generative Pre-trained Transformer),Modelos de Linguagem,Modelos de linguagem de grande escala treinados em vastos corpora de texto para gerar conteúdo similar ao humano.,"Geração de texto, suporte a chatbots e execução de tarefas cognitivas gerais.",Muito Alto,[1]
Aprendizado de Máquina (Machine Learning),Aprendizado de Máquina,Estudo de algoritmos e programas que podem melhorar seu desempenho em uma tarefa automaticamente através da análise de dados.,Aprimoramento automático de desempenho e identificação de padrões.,Médio a Alto,[1]
Redes Neurais Artificiais,Técnica de Aprendizado,Coleção de nós (neurônios artificiais) que modelam vagamente o cérebro biológico para reconhecer padrões complexos em dados.,Reconhecimento de padrões e modelagem de funções matemáticas complexas.,Alto,[1]
Processamento de Linguagem Natural (NLP),Aplicação / Subcampo,"Capacidade de programas de computador lerem, escreverem e se comunicarem utilizando linguagens humanas.","Tradução automática, reconhecimento de fala e desenvolvimento de chatbots.",Alto,[1]
Visão Computacional,Percepção,Capacidade de analisar e interpretar entradas visuais de sensores para deduzir aspectos e informações do mundo real.,"Percepção, classificação de imagens e rastreamento de objetos.",Alto,[1]
Sistemas Especialistas,Aplicação de Lógica,Programas que simulam o conhecimento e as habilidades analíticas de especialistas humanos em domínios específicos de conhecimento.,Suporte à decisão clínica e resolução de problemas técnicos baseados em regras predefinidas.,Baixo a Médio,[1]
Lógica Formal,Lógica,Uso de lógica proposicional e de predicados para a representação formal de conhecimento e realização de inferência dedutiva.,"Raciocínio lógico, prova de teoremas e representação estruturada de fatos.",Baixo,[1]
MEM (Multiplex Electionis Methodus),Teoria da Decisão / Multicritério,Método multicritério para escolha de subconjuntos de alternativas considerando a sinergia e complementaridade entre diferentes critérios.,Otimização de escolha múltipla (portfólio) e processos de recrutamento.,Baixo,[2]
